Flight_ID,Date,Month,Day_of_Week,Departure_City,Arrival_City,Route_Type,Aircraft_Type,Flight_Duration_Minutes,Passengers,Seat_Capacity,Load_Factor_%,Ticket_Price_USD,Revenue_USD,Delay_Minutes,Delay_Category,On_Time_Status,Weather_Condition,Fuel_Consumption_Liters,CO2_Emissions_kg,Customer_Rating,Customer_Feedback
PK2026_0001,2026-06-09,June,Tuesday,Jeddah,Islamabad,International,Airbus A320,83,120,180,66.67,1140,136800,220,Severe,Delayed,Clear,6265,15662.5,4.1,Poor service
PK2026_0002,2026-08-12,August,Wednesday,Dubai,Kuala Lumpur,International,Airbus A320,284,179,180,99.44,773,138367,27,Minor,Delayed,Rain,3516,8790.0,3.6,Average flight
PK2026_0003,2026-04-20,April,Monday,Doha,Lahore,International,ATR 72,333,69,70,98.57,155,10695,176,Severe,Delayed,Fog,13538,33845.0,3.0,Delayed but comfortable
PK2026_0004,2026-12-07,December,Monday,Jeddah,Lahore,International,Boeing 777,330,291,350,83.14,1237,359967,87,Moderate,Delayed,Rain,18850,47125.0,4.4,Average flight
PK2026_0005,2026-05-04,May,Monday,Lahore,Doha,International,Boeing 737,283,159,160,99.38,141,22419,82,Moderate,Delayed,Fog,13474,33685.0,3.0,Delayed but comfortable
PK2026_0006,2026-01-12,January,Monday,Lahore,Dubai,International,Airbus A320,433,172,180,95.56,911,156692,192,Severe,Delayed,Clear,5207,13017.5,4.1,Average flight
PK2026_0007,2026-08-01,August,Saturday,Jeddah,Dubai,International,Boeing 737,198,158,160,98.75,1398,220884,163,Severe,Delayed,Rain,9342,23355.0,4.2,Good experience
PK2026_0008,2026-09-11,September,Friday,Doha,London,International,Boeing 777,112,299,350,85.43,1069,319631,133,Severe,Delayed,Rain,3070,7675.0,4.9,Excellent service
PK2026_0009,2026-11-25,November,Wednesday,Lahore,London,International,Boeing 737,468,83,160,51.88,573,47559,119,Moderate,Delayed,Fog,4465,11162.5,3.2,Excellent service
PK2026_0010,2026-07-15,July,Wednesday,Islamabad,Dubai,International,ATR 72,420,56,70,80.0,1494,83664,64,Moderate,Delayed,Clear,14649,36622.5,3.1,Very smooth journey
PK2026_0011,2026-03-24,March,Tuesday,Dubai,Islamabad,International,Airbus A320,191,177,180,98.33,862,152574,196,Severe,Delayed,Storm,4444,11110.0,3.0,Very smooth journey
PK2026_0012,2026-02-13,February,Friday,Lahore,Kuala Lumpur,International,Airbus A320,190,117,180,65.0,800,93600,10,Minor,On Time,Fog,13855,34637.5,4.8,Good experience
PK2026_0013,2026-02-27,February,Friday,Jeddah,Islamabad,International,Boeing 737,280,128,160,80.0,899,115072,36,Moderate,Delayed,Fog,17847,44617.5,3.1,Average flight
